来源,相对路径,字节,SHA256,分组,状态,检查层次,备注,原件终验,终验SHA256
Codex,装配式装修智能体知识包.zip,2829877,0c47e6cd07b774863280d14eb438220a660d3ec1daf5daf4e1b2f32240087edb,C,完成-结构,ZIP内存CRC及11成员哈希对照,11/11与展开包一致，不解压写盘；未包含原始PDF/Office文件。,与开场清单一致,0c47e6cd07b774863280d14eb438220a660d3ec1daf5daf4e1b2f32240087edb
Codex,装配式装修标准体系_智能体知识版.html,596479,15367bea33cd1b0c77b38c9e35febdc7dac7f7e1a85a2e103cd7b2181d209ef5,C,完成-全文,全文/全记录审阅及关联校验,代理C全文阅读，主代理复核关键字段、统计与证据。 含折叠正文与静态功能检查；未运行JavaScript、动态交互、窄屏或打印测试。,与开场清单一致,15367bea33cd1b0c77b38c9e35febdc7dac7f7e1a85a2e103cd7b2181d209ef5
Codex,装配式装修标准体系解读.html,409079,348c487b8045e6fd5c12c8ba933a689c0fae6551f001b2fc40b0fe823ca053c4,C,完成-全文,全文/全记录审阅及关联校验,代理C全文阅读，主代理复核关键字段、统计与证据。 含折叠正文与静态功能检查；未运行JavaScript、动态交互、窄屏或打印测试。,与开场清单一致,348c487b8045e6fd5c12c8ba933a689c0fae6551f001b2fc40b0fe823ca053c4
Codex,智能体知识包\00_导入与使用说明.md,6424,bbf48949cedbb78522ea83517118685c1902d27401b6fcfa5a6c0a4493eebd99,C,完成-全文,全文/全记录审阅及关联校验,代理C全文阅读，主代理复核关键字段、统计与证据。,与开场清单一致,bbf48949cedbb78522ea83517118685c1902d27401b6fcfa5a6c0a4493eebd99
Codex,智能体知识包\01_核心知识讲义.md,43617,77c5904eaefc32d0022d6085dfd628826be25afca27567628a2b7b6ced697241,C,完成-全文,全文/全记录审阅及关联校验,代理C全文阅读，主代理复核关键字段、统计与证据。,与开场清单一致,77c5904eaefc32d0022d6085dfd628826be25afca27567628a2b7b6ced697241
Codex,智能体知识包\02_知识卡片.md,51468,746f7ff46d927c12b8542e6f480192662a4bf815d1f3e21439ec393a50115864,C,完成-全文,全文/全记录审阅及关联校验,代理C全文阅读，主代理复核关键字段、统计与证据。,与开场清单一致,746f7ff46d927c12b8542e6f480192662a4bf815d1f3e21439ec393a50115864
Codex,智能体知识包\03_逐文件摘要.md,81169,485fa697666a472c6699379d1a57b2b09e29c8d91bd28dcf400c30dbcdffb911,C,完成-全文,全文/全记录审阅及关联校验,代理C全文阅读，主代理复核关键字段、统计与证据。,与开场清单一致,485fa697666a472c6699379d1a57b2b09e29c8d91bd28dcf400c30dbcdffb911
Codex,智能体知识包\eval_cases.json,16639,124179365ee8d4433141766337d30afeac5a3e6252b21b6c354f804fe674d657,C,完成-全文,全文/全记录审阅及关联校验,代理C全文阅读，主代理复核关键字段、统计与证据。 30题全部not_run_on_target_agent，本轮未在目标智能体运行。,与开场清单一致,124179365ee8d4433141766337d30afeac5a3e6252b21b6c354f804fe674d657
Codex,智能体知识包\evidence_chunks.jsonl,11176581,f3f7f65fcf5e4cac4e51ed9618653776ce4e6b8b750c753d0c6af42d4dfdd660,C,完成-结构及抽样,5711条全量结构/关联检查＋71条语义取证,语义71/5711=1.24%，涉及31文献/7来源类型/6解析方法；47770字符约1.48%；非全库语义或原PDF校勘。,与开场清单一致,f3f7f65fcf5e4cac4e51ed9618653776ce4e6b8b750c753d0c6af42d4dfdd660
Codex,智能体知识包\knowledge.jsonl,109500,3bab927132f1567f8811aa795b3e7a57858211bb2036cb5a1d21773560822b46,C,完成-全文,全文/全记录审阅及关联校验,代理C全文阅读，主代理复核关键字段、统计与证据。,与开场清单一致,3bab927132f1567f8811aa795b3e7a57858211bb2036cb5a1d21773560822b46
Codex,智能体知识包\manifest.json,1998,dbc82491b61c3be19ba64d473e5dac0647a7fedad20f9d567f1f2568d6d6f4fe,C,完成-全文,全文/全记录审阅及关联校验,代理C全文阅读，主代理复核关键字段、统计与证据。 所列10个文件哈希及字节数复算一致。,与开场清单一致,dbc82491b61c3be19ba64d473e5dac0647a7fedad20f9d567f1f2568d6d6f4fe
Codex,智能体知识包\metrics.jsonl,13536,577206801fc53e553d39a0f4dc8fcaffed8bc916532e6493465add548b1c60d3,C,完成-全文,全文/全记录审阅及关联校验,代理C全文阅读，主代理复核关键字段、统计与证据。,与开场清单一致,577206801fc53e553d39a0f4dc8fcaffed8bc916532e6493465add548b1c60d3
Codex,智能体知识包\relations.jsonl,28548,409818170eb179aaec65f513fe5b89f93212b4e7b9e75d82654cc6d6b04947e9,C,完成-全文,全文/全记录审阅及关联校验,代理C全文阅读，主代理复核关键字段、统计与证据。,与开场清单一致,409818170eb179aaec65f513fe5b89f93212b4e7b9e75d82654cc6d6b04947e9
Codex,智能体知识包\sources.json,142388,a689417de75ec1b65b503b9accfe88ed3e72a856993ca966da98a9170f6e99c7,C,完成-全文,全文/全记录审阅及关联校验,代理C全文阅读，主代理复核关键字段、统计与证据。 私人原件绝对路径仅核结构/依赖，不披露内容或扩展访问。,与开场清单一致,a689417de75ec1b65b503b9accfe88ed3e72a856993ca966da98a9170f6e99c7
